Published date,Positive_Count,Negative_Count,Neutral_Count,Total,Positive_Percentage,Negative_Percentage,Neutral_Percentage
2021-03-11,7,1,2,10,70,10,20
2021-03-12,0,8,1,9,0,88.88888889,11.11111111
2021-03-13,2,1,7,10,20,10,70
2021-03-14,5,1,1,7,71.42857143,14.28571429,14.28571429
2021-03-15,3,1,4,8,37.5,12.5,50
2021-03-16,5,0,3,8,62.5,0,37.5
2021-03-17,3,1,5,9,33.33333333,11.11111111,55.55555556
2021-03-18,1,1,8,10,10,10,80
2021-03-19,1,2,7,10,10,20,70
2021-03-20,2,1,2,5,40,20,40
2021-03-21,1,1,3,5,20,20,60
2021-03-22,7,0,3,10,70,0,30
2021-03-23,3,1,5,9,33.33333333,11.11111111,55.55555556
2021-03-24,2,3,5,10,20,30,50
2021-03-25,2,1,6,9,22.22222222,11.11111111,66.66666667
2021-03-26,4,0,6,10,40,0,60
2021-03-27,1,2,4,7,14.28571429,28.57142857,57.14285714
2021-03-28,0,2,6,8,0,25,75
2021-03-29,2,1,7,10,20,10,70
2021-03-30,7,0,3,10,70,0,30
2021-03-31,4,0,4,8,50,0,50
2021-04-01,5,1,3,9,55.55555556,11.11111111,33.33333333
2021-04-02,2,2,6,10,20,20,60
2021-04-03,3,0,6,9,33.33333333,0,66.66666667
2021-04-04,1,2,5,8,12.5,25,62.5
2021-04-05,1,2,7,10,10,20,70
2021-04-06,3,0,5,8,37.5,0,62.5
2021-04-07,0,2,7,9,0,22.22222222,77.77777778
2021-04-08,1,1,7,9,11.11111111,11.11111111,77.77777778
2021-04-09,3,1,4,8,37.5,12.5,50
2021-04-10,3,3,3,9,33.33333333,33.33333333,33.33333333
2021-04-11,5,2,2,9,55.55555556,22.22222222,22.22222222
2021-04-12,2,1,5,8,25,12.5,62.5
2021-04-13,2,1,7,10,20,10,70
2021-04-14,4,0,5,9,44.44444444,0,55.55555556
2021-04-15,5,1,4,10,50,10,40
2021-04-16,4,1,5,10,40,10,50
2021-04-17,2,2,5,9,22.22222222,22.22222222,55.55555556
2021-04-18,0,2,7,9,0,22.22222222,77.77777778
2021-04-19,1,3,5,9,11.11111111,33.33333333,55.55555556
2021-04-20,5,2,3,10,50,20,30
2021-04-21,5,0,5,10,50,0,50
2021-04-22,4,4,2,10,40,40,20
2021-04-23,4,1,5,10,40,10,50
2021-04-24,4,2,1,7,57.14285714,28.57142857,14.28571429
2021-04-25,2,2,5,9,22.22222222,22.22222222,55.55555556
2021-04-26,6,0,4,10,60,0,40
2021-04-27,5,0,4,9,55.55555556,0,44.44444444
2021-04-28,4,4,2,10,40,40,20
2021-04-29,3,1,5,9,33.33333333,11.11111111,55.55555556
2021-04-30,1,3,4,8,12.5,37.5,50
2021-05-01,1,2,6,9,11.11111111,22.22222222,66.66666667
2021-05-02,2,2,3,7,28.57142857,28.57142857,42.85714286
2021-05-03,5,0,3,8,62.5,0,37.5
